newINDU_NM,newINDU_code,IGS_code
자율주행차,1,A04004
자율주행차,1,F26001
자율주행차,1,F26003
자율주행차,1,F26015
자율주행차,1,F26016
자율주행차,1,F27003
자율주행차,1,F27004
자율주행차,1,F30001
자율주행차,1,F30002
자율주행차,1,F30005
자율주행차,1,F30006
자율주행차,1,F30009
자율주행차,1,F30011
자율주행차,1,F31001
자율주행차,1,G32004
자율주행차,1,G32005
자율주행차,1,H37002
자율주행차,1,H37004
자율주행차,1,H38007
자율주행차,1,H38008
자율주행차,1,H38011
자율주행차,1,H38014
자율주행차,1,H39002
자율주행차,1,H39003
자율주행차,1,H41002
IOT 가전,2,A02006
IOT 가전,2,B05006
IOT 가전,2,C12003
IOT 가전,2,C12005
IOT 가전,2,C13001
IOT 가전,2,C13010
IOT 가전,2,D16007
IOT 가전,2,F26001
IOT 가전,2,F26002
IOT 가전,2,F26005
IOT 가전,2,F26014
IOT 가전,2,F27003
IOT 가전,2,F27012
IOT 가전,2,F27013
IOT 가전,2,F28005
IOT 가전,2,F28006
IOT 가전,2,F29003
IOT 가전,2,F31001
IOT 가전,2,G32004
IOT 가전,2,G32005
IOT 가전,2,G32006
IOT 가전,2,G33006
IOT 가전,2,G33007
IOT 가전,2,G33008
IOT 가전,2,G33009
IOT 가전,2,G33010
IOT 가전,2,G33011
IOT 가전,2,G34001
IOT 가전,2,G34002
IOT 가전,2,G34003
IOT 가전,2,G34004
IOT 가전,2,G34005
IOT 가전,2,G34006
IOT 가전,2,G34007
IOT 가전,2,G35001
IOT 가전,2,G35002
IOT 가전,2,H37001
IOT 가전,2,H37002
IOT 가전,2,H37003
IOT 가전,2,H37004
IOT 가전,2,H38001
IOT 가전,2,H38005
IOT 가전,2,H38006
IOT 가전,2,H38007
IOT 가전,2,H38008
IOT 가전,2,H38010
IOT 가전,2,H38011
IOT 가전,2,H38014
IOT 가전,2,H39003
IOT 가전,2,I45002
IOT 가전,2,I45004
IOT 가전,2,I45008
IOT 가전,2,I46001
스마트 헬스케어,3,A01002
스마트 헬스케어,3,A01015
스마트 헬스케어,3,A02008
스마트 헬스케어,3,B05003
스마트 헬스케어,3,B05005
스마트 헬스케어,3,B06001
스마트 헬스케어,3,B06003
스마트 헬스케어,3,B07002
스마트 헬스케어,3,B08002
스마트 헬스케어,3,B08004
스마트 헬스케어,3,B09004
스마트 헬스케어,3,B09011
스마트 헬스케어,3,C11004
스마트 헬스케어,3,C12009
스마트 헬스케어,3,C13020
스마트 헬스케어,3,D16009
스마트 헬스케어,3,E17001
스마트 헬스케어,3,E17003
스마트 헬스케어,3,E17006
스마트 헬스케어,3,E17008
스마트 헬스케어,3,E18001
스마트 헬스케어,3,E18003
스마트 헬스케어,3,E18005
스마트 헬스케어,3,E20001
스마트 헬스케어,3,E20002
스마트 헬스케어,3,E20003
스마트 헬스케어,3,E20004
스마트 헬스케어,3,E20010
스마트 헬스케어,3,E20011
스마트 헬스케어,3,E21002
스마트 헬스케어,3,E21006
스마트 헬스케어,3,E22004
스마트 헬스케어,3,E22006
스마트 헬스케어,3,E23001
스마트 헬스케어,3,E23003
스마트 헬스케어,3,E23005
스마트 헬스케어,3,E23007
스마트 헬스케어,3,E23008
스마트 헬스케어,3,E24001
스마트 헬스케어,3,E24002
스마트 헬스케어,3,E25001
스마트 헬스케어,3,E25002
스마트 헬스케어,3,E25003
스마트 헬스케어,3,F26005
스마트 헬스케어,3,F26009
스마트 헬스케어,3,F27002
스마트 헬스케어,3,F28001
스마트 헬스케어,3,F28006
스마트 헬스케어,3,F29001
스마트 헬스케어,3,F30010
스마트 헬스케어,3,F31001
스마트 헬스케어,3,G32006
스마트 헬스케어,3,G32011
스마트 헬스케어,3,G33001
스마트 헬스케어,3,G33008
스마트 헬스케어,3,G34001
스마트 헬스케어,3,G34002
스마트 헬스케어,3,H37003
스마트 헬스케어,3,H37005
스마트 헬스케어,3,H37007
스마트 헬스케어,3,H37008
스마트 헬스케어,3,H38001
스마트 헬스케어,3,H38005
스마트 헬스케어,3,H38006
스마트 헬스케어,3,H38007
스마트 헬스케어,3,H38010
스마트 헬스케어,3,H38011
스마트 헬스케어,3,H38014
스마트 헬스케어,3,H38015
스마트 헬스케어,3,H39001
스마트 헬스케어,3,H39003
스마트 헬스케어,3,I45002
스마트 헬스케어,3,I45007
바이오신약,4,A01002
바이오신약,4,B07001
바이오신약,4,D14008
바이오신약,4,E17005
바이오신약,4,E18002
바이오신약,4,E19001
바이오신약,4,E19004
바이오신약,4,E19006
바이오신약,4,E19007
바이오신약,4,E19010
바이오신약,4,E19012
바이오신약,4,E19013
바이오신약,4,E19014
바이오신약,4,E19015
바이오신약,4,E20001
바이오신약,4,E20002
바이오신약,4,E20003
바이오신약,4,E20004
바이오신약,4,E20010
바이오신약,4,E20011
바이오신약,4,E21002
바이오신약,4,E21006
차세대반도체,5,A01005
차세대반도체,5,A01006
차세대반도체,5,B05004
차세대반도체,5,B05005
차세대반도체,5,B05006
차세대반도체,5,B06001
차세대반도체,5,B06006
차세대반도체,5,B09002
차세대반도체,5,B09015
차세대반도체,5,B09020
차세대반도체,5,B09021
차세대반도체,5,G32001
차세대반도체,5,G32003
차세대반도체,5,G32004
차세대반도체,5,G32005
차세대반도체,5,G32006
차세대반도체,5,G32008
차세대반도체,5,G32009
차세대반도체,5,G32010
차세대반도체,5,G32011
차세대반도체,5,H38006
차세대반도체,5,H38010
차세대디스플레이,6,A01005
차세대디스플레이,6,A01006
차세대디스플레이,6,B05001
차세대디스플레이,6,B05003
차세대디스플레이,6,B05004
차세대디스플레이,6,B05005
차세대디스플레이,6,B05006
차세대디스플레이,6,B05008
차세대디스플레이,6,B06001
차세대디스플레이,6,B06006
차세대디스플레이,6,B09002
차세대디스플레이,6,B09015
차세대디스플레이,6,B09020
차세대디스플레이,6,B09021
차세대디스플레이,6,G33006
차세대디스플레이,6,G33007
차세대디스플레이,6,G33008
차세대디스플레이,6,G33009
차세대디스플레이,6,G33010
차세대디스플레이,6,G34005
차세대디스플레이,6,G34006
차세대디스플레이,6,G34007
차세대디스플레이,6,G35001
차세대디스플레이,6,H38006
차세대디스플레이,6,H38010
신재생에너지,7,A01005
신재생에너지,7,A01011
신재생에너지,7,A04003
신재생에너지,7,B05001
신재생에너지,7,C10001
신재생에너지,7,C10002
신재생에너지,7,C10003
신재생에너지,7,C10004
신재생에너지,7,C10005
신재생에너지,7,C10006
신재생에너지,7,C10008
신재생에너지,7,C10009
신재생에너지,7,C10011
신재생에너지,7,C10012
신재생에너지,7,C11001
신재생에너지,7,C11002
신재생에너지,7,C11003
신재생에너지,7,C11004
신재생에너지,7,C11005
신재생에너지,7,C11006
신재생에너지,7,C12002
신재생에너지,7,C12003
신재생에너지,7,C12004
신재생에너지,7,C12011
신재생에너지,7,C12013
신재생에너지,7,C13005
신재생에너지,7,C13007
신재생에너지,7,C13014
신재생에너지,7,C13015
신재생에너지,7,C13017
신재생에너지,7,C13018
신재생에너지,7,C13019
신재생에너지,7,C13020
신재생에너지,7,C13021
신재생에너지,7,C13022
신재생에너지,7,C13023
신재생에너지,7,D16010
신재생에너지,7,F27011
신재생에너지,7,G32004
ESS,8,B08002
ESS,8,B09001
ESS,8,C10008
ESS,8,C12001
ESS,8,C12002
ESS,8,C12003
ESS,8,C12004
ESS,8,C12005
ESS,8,C12006
ESS,8,C12007
ESS,8,C12008
ESS,8,C12009
ESS,8,C12010
ESS,8,C12011
ESS,8,C12012
ESS,8,C12013
ESS,8,C13017
스마트그리드,9,C10002
스마트그리드,9,C10003
스마트그리드,9,C10004
스마트그리드,9,C10005
스마트그리드,9,C10006
스마트그리드,9,C10008
스마트그리드,9,C10009
스마트그리드,9,C10011
스마트그리드,9,C10012
스마트그리드,9,C11001
스마트그리드,9,C11003
스마트그리드,9,C11005
스마트그리드,9,C11006
스마트그리드,9,C12002
스마트그리드,9,C12003
스마트그리드,9,C12008
스마트그리드,9,C12011
스마트그리드,9,C12013
스마트그리드,9,C13001
스마트그리드,9,C13003
스마트그리드,9,C13008
스마트그리드,9,C13010
스마트그리드,9,C13014
스마트그리드,9,C13015
스마트그리드,9,C13016
스마트그리드,9,C13017
스마트그리드,9,C13018
스마트그리드,9,C13019
스마트그리드,9,C13020
스마트그리드,9,C13023
스마트그리드,9,F26005
스마트그리드,9,F26012
스마트그리드,9,F27011
스마트그리드,9,F30009
스마트그리드,9,G32003
스마트그리드,9,G32004
스마트그리드,9,G36004
전기차,10,A04002
전기차,10,A04005
전기차,10,A04009
전기차,10,A04010
전기차,10,B05001
전기차,10,B05005
전기차,10,B05006
전기차,10,B06001
전기차,10,B07003
전기차,10,B08003
전기차,10,B09002
전기차,10,B09003
전기차,10,B09005
전기차,10,B09015
전기차,10,B09019
전기차,10,C10012
전기차,10,C11002
전기차,10,C12005
전기차,10,C12006
전기차,10,C12010
전기차,10,C12012
전기차,10,C13010
전기차,10,C13020
전기차,10,D15016
전기차,10,D16009
전기차,10,F30011
전기차,10,F31001
전기차,10,G32003
전기차,10,G32004
전기차,10,G34004
전기차,10,G34005
전기차,10,G34007
전기차,10,G36004
전기차,10,H38007
전기차,10,H38011
전기차,10,H38014
전기차,10,H39002
